iter	PRAUC	Logloss
0	0.969321519	0.649739996
1	0.9852186912	0.6081759618
2	0.9917321561	0.5653708841
3	0.995566871	0.5311268719
4	0.9963746893	0.4969365956
5	0.997512142	0.4645661515
6	0.9981625721	0.4354615415
7	0.9983633143	0.4103188599
8	0.9985600416	0.3875897589
9	0.9987239718	0.362771706
10	0.9987761801	0.3429378785
11	0.9989707703	0.3236595225
12	0.9989694041	0.3058131255
13	0.999198725	0.2910915844
14	0.9993656085	0.2777447676
15	0.9994509655	0.2637847514
16	0.999481264	0.2535208232
17	0.9995388292	0.2415707512
18	0.9995792243	0.2304452232
19	0.9996040379	0.2206098516
20	0.9996282245	0.2120851361
21	0.9996488511	0.2030376007
22	0.9996812806	0.1962892758
23	0.9996973171	0.187813327
24	0.999702421	0.1811838831
25	0.9997343697	0.1746815862
26	0.999742211	0.1680476282
27	0.9997782287	0.1619003155
28	0.9997802124	0.1574140181
29	0.9997770319	0.152293031
30	0.9998077302	0.1469555144
31	0.9998094888	0.1421505359
32	0.9998334456	0.1380980736
33	0.9998466159	0.1327704672
34	0.9998652881	0.1286584233
35	0.999882807	0.1237278163
36	0.9998809858	0.1201058235
37	0.9998914493	0.1158174727
38	0.9999004321	0.1127335566
39	0.9999054665	0.1089483075
40	0.9999016686	0.1059784624
41	0.9999076165	0.1030791169
42	0.9999107418	0.1005280823
43	0.9999159445	0.09677488784
44	0.9999157202	0.09406790213
45	0.9999202808	0.09171947236
46	0.9999313569	0.08920732987
47	0.9999396102	0.08648045544
48	0.9999466314	0.08426639507
49	0.9999494171	0.0823835555
50	0.9999532364	0.08000138043
51	0.9999547803	0.07768036819
52	0.9999571654	0.07553873507
53	0.9999609968	0.07309190568
54	0.9999622046	0.07117275197
55	0.9999637555	0.0693562467
56	0.9999658454	0.06782611091
57	0.9999705223	0.06645177694
58	0.9999736566	0.06466888724
59	0.9999748887	0.06336176807
60	0.9999762861	0.06201722557
61	0.9999799405	0.06060168159
62	0.9999792435	0.05936696175
63	0.9999813588	0.05780670939
64	0.9999824047	0.05651827273
65	0.9999838036	0.05528657417
66	0.9999852028	0.05418224521
67	0.9999853801	0.05325174821
68	0.999987666	0.05211067481
69	0.9999887133	0.05102244118
70	0.9999895968	0.05028831587
71	0.9999892436	0.04927714133
72	0.9999899443	0.04806536221
73	0.9999908271	0.04712369705
74	0.9999915262	0.04635510482
75	0.9999917027	0.04526174914
76	0.9999922332	0.04436518005
77	0.9999934681	0.04339257566
78	0.9999936447	0.04261122292
79	0.9999945252	0.04162583508
80	0.9999950552	0.04091591165
81	0.9999955856	0.04019977703
82	0.9999954086	0.03960460339
83	0.9999961147	0.03891967061
84	0.9999964666	0.03836250556
85	0.9999971726	0.03778865356
86	0.9999971726	0.03722370159
87	0.9999971726	0.03656301315
88	0.9999977025	0.0358937038
89	0.9999978789	0.03534073421
90	0.9999980555	0.03471286993
91	0.9999982319	0.03421162975
92	0.9999985851	0.03373340409
93	0.9999989391	0.03319377975
94	0.9999991159	0.03267770582
95	0.9999994696	0.03215540624
96	0.9999998234	0.03145222592
97	1	0.03100179917
98	1	0.03060126533
99	1	0.03002656447
100	1	0.02968761553
101	1	0.02923536351
102	1	0.02886133312
103	1	0.02842473658
104	1	0.02790997036
105	1	0.02744940137
106	1	0.0269878205
107	1	0.02665970128
108	1	0.02626708659
109	1	0.02585753106
110	1	0.02545381259
111	1	0.02515165814
112	1	0.02474812574
113	1	0.02436081703
114	1	0.02400206204
115	1	0.02368976918
116	1	0.02335598973
117	1	0.02307327709
118	1	0.02277360278
119	1	0.02246263552
120	1	0.02221114131
121	1	0.02186731351
122	1	0.02163660368
123	1	0.02135625865
124	1	0.02110201396
125	1	0.02082850065
126	1	0.02056044444
127	1	0.02034436086
128	1	0.02009824436
129	1	0.01982194487
130	1	0.01953189782
131	1	0.01930341166
132	1	0.01909598674
133	1	0.01886599834
134	1	0.01866103261
135	1	0.01848505435
136	1	0.01827556303
137	1	0.01802908568
138	1	0.01777767863
139	1	0.01759201094
140	1	0.01733607568
141	1	0.01709713654
142	1	0.01686833521
143	1	0.01669960133
144	1	0.01649096711
145	1	0.01631694428
146	1	0.0161049946
147	1	0.01588138389
148	1	0.01566403594
149	1	0.01552283181
150	1	0.01537798564
151	1	0.01512470766
152	1	0.01494773334
153	1	0.01478073618
154	1	0.0146125916
155	1	0.01443991472
156	1	0.01425553145
157	1	0.01412514875
158	1	0.01395014214
159	1	0.01376179479
160	1	0.01356978636
161	1	0.01342278191
162	1	0.01328618186
163	1	0.01315333694
164	1	0.01301355611
165	1	0.01290022671
166	1	0.01275219103
167	1	0.01263703971
168	1	0.01253071454
169	1	0.01243601732
170	1	0.01227992025
171	1	0.01215891964
172	1	0.01207461093
173	1	0.01197595942
174	1	0.01181018201
175	1	0.01169470447
176	1	0.01161153671
177	1	0.01147933526
178	1	0.01136132576
179	1	0.01129057463
180	1	0.01117925527
181	1	0.01106283579
182	1	0.01098553626
183	1	0.01088155717
184	1	0.01072958708
185	1	0.01061714416
186	1	0.01050429801
187	1	0.01041209073
188	1	0.01031444379
189	1	0.01022463916
